# S(net18),S(net14),S(net9),S(net16),S(net10),S(net3),S(net15),S(net11),S(net12),S(net19),S(net4),S(net2),S(net7),S(net6),S(net1),S(net0),S(net5),S(net17),S(net8),S(net13),S(out3),S(out1),S(out0),S(out4),S(out2)
0.391000000000,0.413000000000,0.417000000000,0.417000000000,0.431000000000,0.313000000000,0.429000000000,0.323000000000,0.377000000000,0.453000000000,0.351000000000,0.377000000000,0.387000000000,0.429000000000,0.417000000000,0.339000000000,0.411000000000,0.393000000000,0.443000000000,0.375000000000,0.351000000000,0.401000000000,0.347000000000,0.408000000000,0.405000000000
0.531000000000,0.433000000000,0.495000000000,0.495000000000,0.493000000000,0.559000000000,0.485000000000,0.505000000000,0.529000000000,0.515000000000,0.545000000000,0.571000000000,0.513000000000,0.485000000000,0.489000000000,0.445000000000,0.619000000000,0.403000000000,0.479000000000,0.549000000000,0.533000000000,0.515000000000,0.457000000000,0.534000000000,0.533000000000
0.477000000000,0.483000000000,0.523000000000,0.523000000000,0.499000000000,0.313000000000,0.523000000000,0.363000000000,0.483000000000,0.503000000000,0.453000000000,0.515000000000,0.503000000000,0.537000000000,0.521000000000,0.475000000000,0.479000000000,0.475000000000,0.557000000000,0.473000000000,0.447000000000,0.525000000000,0.451000000000,0.444000000000,0.515000000000
0.601000000000,0.623000000000,0.579000000000,0.579000000000,0.563000000000,0.701000000000,0.603000000000,0.715000000000,0.625000000000,0.599000000000,0.727000000000,0.593000000000,0.631000000000,0.611000000000,0.585000000000,0.649000000000,0.665000000000,0.635000000000,0.619000000000,0.639000000000,0.665000000000,0.589000000000,0.675000000000,0.612000000000,0.633000000000
0.501000000000,0.493000000000,0.465000000000,0.465000000000,0.561000000000,0.555000000000,0.473000000000,0.505000000000,0.545000000000,0.503000000000,0.369000000000,0.511000000000,0.497000000000,0.507000000000,0.437000000000,0.537000000000,0.475000000000,0.475000000000,0.489000000000,0.477000000000,0.495000000000,0.493000000000,0.453000000000,0.622000000000,0.451000000000
0.687000000000,0.667000000000,0.665000000000,0.665000000000,0.683000000000,0.764000000000,0.659000000000,0.723000000000,0.725000000000,0.631000000000,0.635000000000,0.677000000000,0.723000000000,0.675000000000,0.661000000000,0.737000000000,0.705000000000,0.727000000000,0.705000000000,0.723000000000,0.727000000000,0.717000000000,0.713000000000,0.703000000000,0.717000000000
0.617000000000,0.559000000000,0.543000000000,0.543000000000,0.531000000000,0.449000000000,0.551000000000,0.541000000000,0.561000000000,0.627000000000,0.567000000000,0.539000000000,0.549000000000,0.561000000000,0.529000000000,0.575000000000,0.531000000000,0.517000000000,0.549000000000,0.535000000000,0.477000000000,0.465000000000,0.525000000000,0.608000000000,0.559000000000
0.441000000000,0.481000000000,0.483000000000,0.483000000000,0.493000000000,0.547000000000,0.477000000000,0.505000000000,0.555000000000,0.351000000000,0.415000000000,0.509000000000,0.533000000000,0.501000000000,0.495000000000,0.491000000000,0.493000000000,0.539000000000,0.509000000000,0.475000000000,0.543000000000,0.543000000000,0.497000000000,0.466000000000,0.473000000000
0.551000000000,0.477000000000,0.495000000000,0.495000000000,0.489000000000,0.443000000000,0.591000000000,0.419000000000,0.509000000000,0.505000000000,0.529000000000,0.465000000000,0.489000000000,0.451000000000,0.483000000000,0.485000000000,0.497000000000,0.517000000000,0.525000000000,0.473000000000,0.519000000000,0.507000000000,0.543000000000,0.546000000000,0.395000000000
0.587000000000,0.591000000000,0.517000000000,0.517000000000,0.503000000000,0.531000000000,0.637000000000,0.561000000000,0.493000000000,0.535000000000,0.599000000000,0.559000000000,0.575000000000,0.477000000000,0.627000000000,0.607000000000,0.611000000000,0.589000000000,0.581000000000,0.519000000000,0.565000000000,0.559000000000,0.609000000000,0.568000000000,0.565000000000
0.551000000000,0.603000000000,0.583000000000,0.583000000000,0.597000000000,0.551000000000,0.555000000000,0.535000000000,0.529000000000,0.527000000000,0.515000000000,0.517000000000,0.557000000000,0.547000000000,0.551000000000,0.583000000000,0.547000000000,0.645000000000,0.581000000000,0.599000000000,0.577000000000,0.555000000000,0.585000000000,0.586000000000,0.609000000000
0.509000000000,0.595000000000,0.611000000000,0.611000000000,0.623000000000,0.571000000000,0.633000000000,0.563000000000,0.567000000000,0.567000000000,0.609000000000,0.605000000000,0.607000000000,0.593000000000,0.589000000000,0.483000000000,0.647000000000,0.589000000000,0.607000000000,0.593000000000,0.613000000000,0.633000000000,0.575000000000,0.514000000000,0.535000000000
0.563000000000,0.447000000000,0.511000000000,0.511000000000,0.431000000000,0.491000000000,0.475000000000,0.549000000000,0.559000000000,0.501000000000,0.505000000000,0.451000000000,0.489000000000,0.579000000000,0.461000000000,0.547000000000,0.433000000000,0.505000000000,0.493000000000,0.535000000000,0.561000000000,0.475000000000,0.471000000000,0.470000000000,0.591000000000
0.495000000000,0.501000000000,0.605000000000,0.605000000000,0.513000000000,0.455000000000,0.471000000000,0.475000000000,0.525000000000,0.511000000000,0.475000000000,0.481000000000,0.523000000000,0.601000000000,0.391000000000,0.443000000000,0.463000000000,0.521000000000,0.513000000000,0.529000000000,0.515000000000,0.507000000000,0.513000000000,0.436000000000,0.457000000000
0.561000000000,0.521000000000,0.493000000000,0.493000000000,0.549000000000,0.611000000000,0.471000000000,0.561000000000,0.549000000000,0.557000000000,0.481000000000,0.551000000000,0.549000000000,0.471000000000,0.549000000000,0.609000000000,0.549000000000,0.523000000000,0.549000000000,0.547000000000,0.507000000000,0.477000000000,0.521000000000,0.596000000000,0.581000000000
0.433000000000,0.569000000000,0.549000000000,0.549000000000,0.583000000000,0.535000000000,0.551000000000,0.489000000000,0.551000000000,0.531000000000,0.559000000000,0.569000000000,0.581000000000,0.553000000000,0.479000000000,0.457000000000,0.607000000000,0.583000000000,0.585000000000,0.585000000000,0.573000000000,0.609000000000,0.551000000000,0.484000000000,0.497000000000
0.419000000000,0.481000000000,0.435000000000,0.435000000000,0.467000000000,0.439000000000,0.471000000000,0.481000000000,0.563000000000,0.463000000000,0.499000000000,0.481000000000,0.521000000000,0.511000000000,0.397000000000,0.285000000000,0.573000000000,0.515000000000,0.519000000000,0.527000000000,0.469000000000,0.495000000000,0.511000000000,0.500000000000,0.461000000000
0.619000000000,0.601000000000,0.613000000000,0.613000000000,0.537000000000,0.531000000000,0.599000000000,0.631000000000,0.545000000000,0.639000000000,0.553000000000,0.547000000000,0.547000000000,0.639000000000,0.521000000000,0.593000000000,0.561000000000,0.543000000000,0.509000000000,0.549000000000,0.553000000000,0.525000000000,0.483000000000,0.602000000000,0.575000000000
0.619000000000,0.537000000000,0.535000000000,0.535000000000,0.503000000000,0.487000000000,0.543000000000,0.581000000000,0.509000000000,0.515000000000,0.483000000000,0.509000000000,0.517000000000,0.469000000000,0.463000000000,0.497000000000,0.505000000000,0.491000000000,0.485000000000,0.451000000000,0.391000000000,0.429000000000,0.467000000000,0.639000000000,0.483000000000
0.549000000000,0.435000000000,0.467000000000,0.467000000000,0.505000000000,0.555000000000,0.453000000000,0.465000000000,0.511000000000,0.501000000000,0.533000000000,0.515000000000,0.499000000000,0.377000000000,0.505000000000,0.483000000000,0.457000000000,0.541000000000,0.611000000000,0.499000000000,0.463000000000,0.465000000000,0.503000000000,0.494000000000,0.523000000000
0.391000000000,0.413000000000,0.417000000000,0.417000000000,0.431000000000,0.313000000000,0.429000000000,0.323000000000,0.377000000000,0.453000000000,0.351000000000,0.377000000000,0.387000000000,0.429000000000,0.417000000000,0.339000000000,0.411000000000,0.393000000000,0.443000000000,0.375000000000,0.351000000000,0.401000000000,0.347000000000,0.408000000000,0.405000000000
0.601000000000,0.623000000000,0.579000000000,0.579000000000,0.563000000000,0.701000000000,0.603000000000,0.715000000000,0.625000000000,0.599000000000,0.727000000000,0.593000000000,0.631000000000,0.611000000000,0.585000000000,0.649000000000,0.665000000000,0.635000000000,0.619000000000,0.639000000000,0.665000000000,0.589000000000,0.675000000000,0.612000000000,0.633000000000
0.617000000000,0.559000000000,0.543000000000,0.543000000000,0.531000000000,0.449000000000,0.551000000000,0.541000000000,0.561000000000,0.627000000000,0.567000000000,0.539000000000,0.549000000000,0.561000000000,0.529000000000,0.575000000000,0.531000000000,0.517000000000,0.549000000000,0.535000000000,0.477000000000,0.465000000000,0.525000000000,0.608000000000,0.559000000000
0.587000000000,0.591000000000,0.517000000000,0.517000000000,0.503000000000,0.531000000000,0.637000000000,0.561000000000,0.493000000000,0.535000000000,0.599000000000,0.559000000000,0.575000000000,0.477000000000,0.627000000000,0.607000000000,0.611000000000,0.589000000000,0.581000000000,0.519000000000,0.565000000000,0.559000000000,0.609000000000,0.568000000000,0.565000000000
0.619000000000,0.601000000000,0.613000000000,0.613000000000,0.537000000000,0.531000000000,0.599000000000,0.631000000000,0.545000000000,0.639000000000,0.553000000000,0.547000000000,0.547000000000,0.639000000000,0.521000000000,0.593000000000,0.561000000000,0.543000000000,0.509000000000,0.549000000000,0.553000000000,0.525000000000,0.483000000000,0.602000000000,0.575000000000
