# S(high_level_0.in0),S(high_level_0.in1),S(high_level_0.in2),S(high_level_0.in3),S(high_level_0.in4),S(high_level_0.in5),S(high_level_0.in6),S(high_level_0.in7),S(high_level_0.in8),S(high_level_0.in9),S(high_level_0.out0),S(high_level_0.out1),S(high_level_0.out2),S(high_level_0.out3),S(high_level_0.out4),S(high_level_0.net0),S(high_level_0.net1),S(high_level_0.net10),S(high_level_0.net11),S(high_level_0.net12),S(high_level_0.net13),S(high_level_0.net14),S(high_level_0.net15),S(high_level_0.net16),S(high_level_0.net17),S(high_level_0.net18),S(high_level_0.net19),S(high_level_0.net2),S(high_level_0.net3),S(high_level_0.net4),S(high_level_0.net5),S(high_level_0.net6),S(high_level_0.net7),S(high_level_0.net8),S(high_level_0.net9)
0.1960,0.4100,0.2340,0.1160,0.4900,0.0380,0.2140,0.3900,0.2940,0.3120,0.4500,0.2740,0.0980,0.0180,0.0580,0.0780,0.1360,0.4700,0.3720,0.3300,0.4300,0.2540,0.1760,0.1560,0.3500
0.2740,0.3720,0.0180,0.1160,0.3500,0.0980,0.4280,0.0380,0.1760,0.2940,0.4480,0.3900,0.1560,0.2120,0.0580,0.3300,0.3120,0.4700,0.0780,0.4080,0.2320,0.4900,0.2540,0.1360,0.1960
0.1960,0.4100,0.4500,0.3520,0.3100,0.4300,0.0380,0.2940,0.0980,0.4900,0.3720,0.1740,0.1360,0.1140,0.2320,0.0180,0.0780,0.4700,0.3900,0.0580,0.1560,0.2140,0.3300,0.2740,0.2540
0.1360,0.2340,0.4100,0.1960,0.3720,0.2540,0.3300,0.0580,0.2740,0.2940,0.4480,0.0180,0.3100,0.1560,0.2140,0.4900,0.3520,0.4280,0.3900,0.1760,0.0980,0.1160,0.0780,0.0380,0.4700
0.4300,0.1960,0.0760,0.2940,0.4700,0.0180,0.3720,0.0960,0.2540,0.3120,0.0380,0.4900,0.1160,0.1360,0.2340,0.0580,0.4500,0.3300,0.1760,0.2140,0.1560,0.3900,0.4080,0.3520,0.2740
0.3720,0.0780,0.3520,0.0180,0.2140,0.2520,0.4300,0.4900,0.1740,0.2740,0.0380,0.0580,0.4500,0.1360,0.3300,0.1160,0.1560,0.3120,0.1960,0.2340,0.4700,0.3920,0.2920,0.0980,0.4080
0.3520,0.4680,0.2740,0.3100,0.1760,0.4480,0.2320,0.0380,0.0980,0.0180,0.0580,0.4880,0.1560,0.1160,0.3320,0.2540,0.4280,0.0780,0.2940,0.1940,0.1360,0.4080,0.3920,0.2120,0.3720
0.3520,0.2540,0.1160,0.4300,0.3100,0.0380,0.1560,0.2920,0.4680,0.1740,0.3320,0.1960,0.2740,0.1360,0.4880,0.2140,0.3900,0.4500,0.4080,0.0980,0.2320,0.3700,0.0580,0.0780,0.0180
0.0960,0.2340,0.3120,0.4100,0.3900,0.1160,0.1760,0.3300,0.4900,0.1560,0.0780,0.1360,0.3500,0.0380,0.0580,0.3720,0.2120,0.2540,0.1960,0.2740,0.4700,0.4300,0.4500,0.2940,0.0180
0.4880,0.0780,0.1960,0.2740,0.3120,0.1360,0.2940,0.2140,0.3900,0.0580,0.3300,0.2540,0.3520,0.4680,0.4480,0.0380,0.0180,0.1560,0.3720,0.2340,0.4080,0.1760,0.4280,0.1160,0.0980
0.4060,0.4500,0.4160,0.3820,0.4740,0.4260,0.3680,0.2120,0.2900,0.3100,0.3780,0.4080,0.3300,0.2640,0.3860,0.3480,0.4460,0.4680,0.4340,0.2700,0.2460,0.4140,0.4520,0.3140,0.4260
0.5500,0.4300,0.4100,0.2880,0.6020,0.2660,0.5080,0.4140,0.3640,0.4300,0.3920,0.5140,0.3720,0.2160,0.3880,0.3200,0.4120,0.5580,0.4260,0.3460,0.4560,0.5980,0.4800,0.4140,0.5220
0.2640,0.3400,0.3860,0.3680,0.3740,0.3620,0.2560,0.2420,0.3280,0.2820,0.3140,0.2600,0.3300,0.1260,0.2680,0.3340,0.3400,0.3340,0.3420,0.2260,0.2820,0.3080,0.3560,0.2720,0.3580
0.7380,0.5800,0.5920,0.5460,0.7260,0.4380,0.6640,0.5300,0.5200,0.5320,0.5360,0.6100,0.5440,0.4000,0.6240,0.4540,0.5920,0.7240,0.6080,0.4380,0.5460,0.7680,0.7080,0.5000,0.6060
0.5460,0.4420,0.4200,0.4300,0.4800,0.3340,0.4660,0.4620,0.4560,0.3940,0.4840,0.4620,0.4800,0.3080,0.5360,0.3800,0.4740,0.5580,0.4160,0.4260,0.4860,0.6320,0.3780,0.2380,0.4360
0.2500,0.4040,0.3280,0.2480,0.3920,0.2280,0.3160,0.2860,0.2360,0.3840,0.4320,0.2800,0.2060,0.2040,0.1920,0.3060,0.2760,0.4680,0.3900,0.2720,0.2960,0.3180,0.2860,0.2240,0.3940
