# S(net10),S(net14),S(net9),S(net13),S(net12),S(net7),S(net6),S(net11),S(net5),S(net8),S(net16),S(net4),S(net19),S(net17),S(net0),S(net1),S(out1),S(out4),S(out2),S(net2),S(net3),S(net15),S(net18),S(out0),S(out3)
0.497000000000,0.533000000000,0.645000000000,0.517000000000,0.465000000000,0.499000000000,0.419000000000,0.539000000000,0.523000000000,0.509000000000,0.487000000000,0.473000000000,0.507000000000,0.497000000000,0.467000000000,0.525000000000,0.463000000000,0.581000000000,0.485000000000,0.473000000000,0.471000000000,0.547000000000,0.457000000000,0.495000000000,0.451000000000
0.543000000000,0.495000000000,0.425000000000,0.493000000000,0.511000000000,0.461000000000,0.457000000000,0.451000000000,0.485000000000,0.505000000000,0.501000000000,0.445000000000,0.513000000000,0.471000000000,0.479000000000,0.507000000000,0.565000000000,0.515000000000,0.611000000000,0.431000000000,0.507000000000,0.495000000000,0.483000000000,0.545000000000,0.451000000000
0.471000000000,0.521000000000,0.543000000000,0.427000000000,0.551000000000,0.615000000000,0.471000000000,0.575000000000,0.487000000000,0.465000000000,0.431000000000,0.515000000000,0.549000000000,0.487000000000,0.487000000000,0.433000000000,0.499000000000,0.521000000000,0.497000000000,0.477000000000,0.515000000000,0.467000000000,0.527000000000,0.411000000000,0.471000000000
0.515000000000,0.487000000000,0.441000000000,0.581000000000,0.467000000000,0.607000000000,0.509000000000,0.447000000000,0.503000000000,0.481000000000,0.507000000000,0.427000000000,0.443000000000,0.505000000000,0.455000000000,0.487000000000,0.505000000000,0.463000000000,0.537000000000,0.539000000000,0.539000000000,0.519000000000,0.471000000000,0.527000000000,0.547000000000
0.549000000000,0.495000000000,0.681000000000,0.507000000000,0.465000000000,0.499000000000,0.431000000000,0.501000000000,0.569000000000,0.445000000000,0.423000000000,0.527000000000,0.555000000000,0.495000000000,0.499000000000,0.539000000000,0.477000000000,0.475000000000,0.529000000000,0.549000000000,0.521000000000,0.461000000000,0.469000000000,0.499000000000,0.503000000000
0.405000000000,0.423000000000,0.443000000000,0.513000000000,0.441000000000,0.463000000000,0.517000000000,0.429000000000,0.565000000000,0.537000000000,0.551000000000,0.503000000000,0.507000000000,0.561000000000,0.543000000000,0.507000000000,0.465000000000,0.483000000000,0.473000000000,0.461000000000,0.487000000000,0.557000000000,0.565000000000,0.515000000000,0.511000000000
0.501000000000,0.487000000000,0.529000000000,0.411000000000,0.427000000000,0.505000000000,0.517000000000,0.503000000000,0.489000000000,0.481000000000,0.501000000000,0.511000000000,0.531000000000,0.411000000000,0.481000000000,0.539000000000,0.497000000000,0.495000000000,0.439000000000,0.555000000000,0.527000000000,0.439000000000,0.525000000000,0.537000000000,0.493000000000
0.631000000000,0.515000000000,0.479000000000,0.399000000000,0.499000000000,0.581000000000,0.475000000000,0.463000000000,0.617000000000,0.503000000000,0.433000000000,0.589000000000,0.489000000000,0.547000000000,0.513000000000,0.533000000000,0.489000000000,0.443000000000,0.519000000000,0.469000000000,0.535000000000,0.537000000000,0.481000000000,0.501000000000,0.425000000000
0.471000000000,0.491000000000,0.503000000000,0.521000000000,0.455000000000,0.525000000000,0.297000000000,0.515000000000,0.501000000000,0.371000000000,0.543000000000,0.545000000000,0.389000000000,0.523000000000,0.487000000000,0.545000000000,0.669000000000,0.441000000000,0.497000000000,0.431000000000,0.549000000000,0.439000000000,0.465000000000,0.565000000000,0.535000000000
0.477000000000,0.515000000000,0.449000000000,0.505000000000,0.463000000000,0.517000000000,0.513000000000,0.539000000000,0.507000000000,0.669000000000,0.487000000000,0.565000000000,0.511000000000,0.499000000000,0.427000000000,0.485000000000,0.501000000000,0.333000000000,0.491000000000,0.461000000000,0.487000000000,0.525000000000,0.605000000000,0.543000000000,0.535000000000
0.108000000000,0.112000000000,0.160000000000,0.110000000000,0.134000000000,0.126000000000,0.114000000000,0.144000000000,0.142000000000,0.114000000000,0.092000000000,0.112000000000,0.170000000000,0.104000000000,0.116000000000,0.084000000000,0.080000000000,0.204000000000,0.110000000000,0.128000000000,0.100000000000,0.166000000000,0.104000000000,0.078000000000,0.096000000000
0.160000000000,0.132000000000,0.056000000000,0.088000000000,0.122000000000,0.122000000000,0.152000000000,0.086000000000,0.158000000000,0.132000000000,0.124000000000,0.126000000000,0.124000000000,0.090000000000,0.130000000000,0.138000000000,0.094000000000,0.076000000000,0.146000000000,0.104000000000,0.134000000000,0.122000000000,0.136000000000,0.124000000000,0.086000000000
0.082000000000,0.144000000000,0.134000000000,0.102000000000,0.128000000000,0.136000000000,0.148000000000,0.122000000000,0.094000000000,0.130000000000,0.144000000000,0.116000000000,0.124000000000,0.140000000000,0.110000000000,0.140000000000,0.128000000000,0.122000000000,0.090000000000,0.136000000000,0.118000000000,0.138000000000,0.120000000000,0.120000000000,0.128000000000
0.090000000000,0.076000000000,0.052000000000,0.064000000000,0.064000000000,0.078000000000,0.056000000000,0.042000000000,0.052000000000,0.036000000000,0.038000000000,0.060000000000,0.056000000000,0.054000000000,0.070000000000,0.062000000000,0.076000000000,0.070000000000,0.070000000000,0.082000000000,0.086000000000,0.066000000000,0.042000000000,0.046000000000,0.048000000000
0.066000000000,0.066000000000,0.056000000000,0.078000000000,0.060000000000,0.040000000000,0.098000000000,0.052000000000,0.070000000000,0.124000000000,0.050000000000,0.078000000000,0.076000000000,0.062000000000,0.056000000000,0.064000000000,0.046000000000,0.048000000000,0.068000000000,0.032000000000,0.064000000000,0.092000000000,0.082000000000,0.072000000000,0.070000000000
0.012000000000,0.004000000000,0.006000000000,0.002000000000,0.006000000000,0.004000000000,0.018000000000,0.004000000000,0.008000000000,0.010000000000,0.002000000000,0.018000000000,0.016000000000,0.008000000000,0.010000000000,0.018000000000,0.008000000000,0.008000000000,0.006000000000,0.002000000000,0.010000000000,0.010000000000,0.006000000000,0.006000000000,0.012000000000
0.108000000000,0.112000000000,0.160000000000,0.110000000000,0.134000000000,0.126000000000,0.114000000000,0.144000000000,0.142000000000,0.114000000000,0.092000000000,0.112000000000,0.170000000000,0.104000000000,0.116000000000,0.084000000000,0.080000000000,0.204000000000,0.110000000000,0.128000000000,0.100000000000,0.166000000000,0.104000000000,0.078000000000,0.096000000000
0.082000000000,0.144000000000,0.134000000000,0.102000000000,0.128000000000,0.136000000000,0.148000000000,0.122000000000,0.094000000000,0.130000000000,0.144000000000,0.116000000000,0.124000000000,0.140000000000,0.110000000000,0.140000000000,0.128000000000,0.122000000000,0.090000000000,0.136000000000,0.118000000000,0.138000000000,0.120000000000,0.120000000000,0.128000000000
0.090000000000,0.076000000000,0.052000000000,0.064000000000,0.064000000000,0.078000000000,0.056000000000,0.042000000000,0.052000000000,0.036000000000,0.038000000000,0.060000000000,0.056000000000,0.054000000000,0.070000000000,0.062000000000,0.076000000000,0.070000000000,0.070000000000,0.082000000000,0.086000000000,0.066000000000,0.042000000000,0.046000000000,0.048000000000
